ANO,CODESC,TIPOESC,NOMESC,DRE,DIRETORIA,SUBPREF,CEU,ENDERECO,NUMERO,BAIRRO,CEP,TEL1,TEL2,FAX,SITUACAO,CDIST,DISTRITO,SETOR,CODSEE,CODINEP,EH,NOME_ANT,T2D3D,DTURNOS,LATITUDE,LONGITUDE,REDE,DATABASE,TOTCLA,TOTALU,TOTALU_COM_COMPAT
2019,400694,CEU CEI,PARQUE ANHANGUERA,PJ,PIRITUBA,PERUS,PARQUE ANHANGUERA,RUA PEDRO JOSÉ DE LIMA,1020,JARDIM ANHANGÜERA,05267174,39126051,39126053,,Ativa,03,ANHANGUERA,0307,0397088,35397088,163000001380100,,2D,G,-23439951,-46787258,DIR,30/6/2019,18,222,222
2019,400658,CEI INDIR,MORADA DO SOL,PJ,PIRITUBA,PERUS,,RUA EUCLIDES DA CUNHA,S/N,MORADA DO SOL,05281000,39450141,,39478846,Ativa,03,ANHANGUERA,0303,0342981,35342981,163000001160000,,2D,G,-23432881,-46778881,CON,30/6/2019,14,153,153
2019,400595,CEI INDIR,SOL NASCENTE,PJ,PIRITUBA,PERUS,,ALAMEDA ARISTOTENES CLAUDIO SBRIGH,7,RESIDENCIAL SOL NASCENTE,05282000,39476664,39416651,39476664,Ativa,03,ANHANGUERA,0303,0343134,35343134,,,2D,G,-23436774,-46779039,CON,30/6/2019,13,158,158
2019,400849,CEI INDIR,MORRO DOCE,PJ,PIRITUBA,PERUS,,RUA POMPEU BERTINI,45,MORRO DOCE,05271120,39110836,,,Ativa,03,ANHANGUERA,0308,0005603,35005603,,RAIZES,2D,G,-23430205,-46793685,CON,30/6/2019,18,191,191
2019,400058,CEI DIRET,"HOMERO DOMINGUES DA SILVA, VER.",PJ,PIRITUBA,PERUS,,RUA DOMENICO ASPARI,80,JARDIM BRITANIA,05269010,39166007,,,Ativa,03,ANHANGUERA,0307,0238405,35238405,163000000880000,JARDIM BRITANIA,2D,G,-23433185,-46787117,DIR,30/6/2019,12,146,148
2019,308385,CR.P.CONV,CONSTRUINDO O FUTURO II,PJ,PIRITUBA,PERUS,,RUA ABEL LUCAS,3,JARDIM SANTA FE ZONA OESTE,05269220,39113203,,,Ativa,03,ANHANGUERA,0307,0578393,35578393,,,2D,G,-23431186,-46788100,CON,30/6/2019,15,167,170
2019,308439,CR.P.CONV,FAMILIA SIAO,PJ,PIRITUBA,PERUS,,RUA MINAS GERAIS,158,JARDIM ROSINHA,05274090,39113321,,,Ativa,03,ANHANGUERA,0306,0579312,35579312,,,2D,G,-23439985,-46800422,CON,30/6/2019,11,126,126
2019,308440,CR.P.CONV,FAMILIA JUDA,PJ,PIRITUBA,PERUS,,ESTRADA DE PIRAPORA,101,JARDIM JARAGUÁ,05275010,39112451,,,Ativa,03,ANHANGUERA,0306,0579324,35579324,,,2D,G,-23437015,-46805734,CON,30/6/2019,14,157,157
2019,501311,MOVA,CAPES CENTRO ANHANGUERA DE PROMOCAO E EDUCACAO SOCIAL UNI IV,PJ,PIRITUBA,PERUS,,RUA VINÍCIUS DE MORAES,103,VILA DOS PALMARES,05273170,,,,Ativa,03,ANHANGUERA,0306,,,,CAPES CENTRO ANHANGUERA DE PROMOCAO E EDUCACA,2D,N,-23545508,-46698259,CON,30/6/2019,1,20,
2019,501312,MOVA,CAPES - CENTRO ANHAGUERA DE PROMOCAO E DUCACAO SOCIAL UNID I,PJ,PIRITUBA,PERUS,,RUA ALBERTO GENTILI,363,JARDIM SANTA FE ZONA OESTE,05271130,,,,Ativa,03,ANHANGUERA,0308,,,,ALBERTO GENTILI,2D,N,-23431720,-46793852,CON,30/6/2019,1,20,
2019,501314,MOVA,CAPES - CENTRO ANHANGUERA DE PROM E EDUC SOC UNID III,PJ,PIRITUBA,PERUS,,RUA DALVA DE OLIVEIRA,84,RESIDENCIAL SOL NASCENTE,05282010,,,,Ativa,03,ANHANGUERA,0303,,,,DALVA DE OLIVEIRA,2D,N,-23437299,-46779214,CON,30/6/2019,1,20,
2019,501440,MOVA,CAPES CENTRO DE PROMOCAO E EDUC SOCIAL V,PJ,PIRITUBA,PERUS,,RUA ÁGUA FRIA DE GOIÁS,74,JARDIM MONTE BELO,05272040,,,,Ativa,03,ANHANGUERA,0306,,,,,2D,N,-23444188,-46801678,CON,30/6/2019,1,20,
2019,501442,MOVA,CAPES CENTRO ANHANGUERA DE PROM E EDUC SOCIAL,PJ,PIRITUBA,PERUS,,RUA FRANCISCO PERAZA,22,PARQUE ESPERANCA,05266200,,,,Ativa,03,ANHANGUERA,0306,,,,,2D,N,-23444442,-46797491,CON,30/6/2019,1,21,
2019,501446,MOVA,SOCIEDADE AMIGOS DO DISTRITO DE PERUS XIII,PJ,PIRITUBA,PERUS,,RUA BARRETOS,2,SÍTIO ITABERABA I,05270020,,,,Ativa,03,ANHANGUERA,0306,,,,,2D,N,-23448043,-46797134,CON,30/6/2019,1,29,
2019,501453,MOVA,SOCIEDADE AMIGOS DO DISTRITO DE PERUS X,PJ,PIRITUBA,PERUS,,RUA DIAS GOMES,7,CONJUNTO RESIDENCIAL MORADA DO SOL,05281040,,,,Ativa,03,ANHANGUERA,0303,,,,,2D,N,-23433386,-46778340,CON,30/6/2019,1,23,
2019,700036,CEU AT COM,PARQUE ANHANGUERA,PJ,PIRITUBA,PERUS,PARQUE ANHANGUERA,RUA PEDRO JOSÉ DE LIMA,1020,JARDIM ANHANGÜERA,05267174,39126020,,,Ativa,03,ANHANGUERA,0307,0455416,35455416,,,,,-23439942,-46787258,DIR,30/6/2019,0,0,0
2019,099988,EMEI,MARIA JOSE DUPRE,PJ,PIRITUBA,PERUS,,RUA PASTOR JOÃO GRECCHI,84,JARDIM SANTA FE ZONA OESTE,05271290,39166494,,39166440,Ativa,03,ANHANGUERA,0308,0098450,35098450,163000000890000,,2D,MT,-23429082,-46795736,DIR,30/6/2019,16,551,553
2019,094501,EMEF,PAULO PRADO,PJ,PIRITUBA,PERUS,,RUA POMPEU BERTINI,80,JARDIM SANTA FE,05271110,39110639,39166203,39166203,Ativa,03,ANHANGUERA,0308,0054653,35054653,163000000930000,PARQUE ANHANGUERA,2D,MTN,-23429883,-46792823,DIR,30/6/2019,36,1152,1155
2019,019205,EMEI,JARDIM MONTE BELO,PJ,PIRITUBA,PERUS,,RUA PALMEIRÓPOLIS,S/N,JARDIM MONTE BELO,05272005,39113496,39117589,39117589,Ativa,03,ANHANGUERA,0306,0271007,35271007,163000000860000,,2D,MT,-23444422,-46800494,DIR,30/6/2019,12,416,418
2019,019215,EMEF,"REMO RINALDI NADDEO, PROF.",PJ,PIRITUBA,PERUS,,RUA DIONÍSIO BELLANTE,487,JARDIM SANTA FE ZONA OESTE,05271150,39117746,39117772,,Ativa,03,ANHANGUERA,0308,0271019,35271019,163000000940000,MORRO DOCE,2D,MT,-23432489,-46794255,DIR,30/6/2019,27,844,849
2019,019218,EMEF,JARDIM MONTE BELO,PJ,PIRITUBA,PERUS,,RUA PALMEIRÓPOLIS,S/N,JARDIM MONTE BELO,05272005,39117588,,39117588,Ativa,03,ANHANGUERA,0306,0271020,35271020,163000000920000,,2D,MTN,-23444254,-46800671,DIR,30/6/2019,26,782,782
2019,019224,EMEF,"MILENA BENEDICTO, PROFA",PJ,PIRITUBA,PERUS,,AVENIDA FELIPPO STURBA,25,JARDIM ANHANGÜERA,05267200,39112577,39165364,,Ativa,03,ANHANGUERA,0307,0233882,35233882,163000000870000,JARDIM BRITANIA,2D,MTN,-23438592,-46788790,DIR,30/6/2019,36,1036,1037
2019,019233,EMEF,EDGARD CARONE,PJ,PIRITUBA,PERUS,,RUA ELISA DINA,293,JARDIM BRITANIA,05269060,39111658,39113068,39113068,Ativa,03,ANHANGUERA,0307,0275013,35275013,163000000900000,JARDIM BRITANIA ANEXO,2D,MT,-23433445,-46790857,DIR,30/6/2019,14,441,444
2019,019351,EMEF,"MARILI DIAS, PROFA",PJ,PIRITUBA,PERUS,,RUA ANTONIO CONSELHEIRO,1,VILA DOS PALMARES,05273140,39163375,39163376,,Ativa,03,ANHANGUERA,0306,0355185,35355185,163000001170000,ESTRADA DE PIRAPORA,2D,MT,-23440785,-46807445,DIR,30/6/2019,32,985,990
2019,019380,CEU EMEI,PARQUE ANHANGUERA,PJ,PIRITUBA,PERUS,PARQUE ANHANGUERA,RUA PEDRO JOSÉ DE LIMA,1020,JARDIM ANHANGÜERA,05267174,39126020,39126020,,Ativa,03,ANHANGUERA,0307,0397131,35397131,163000001380300,,2D,MT,-23439942,-46787248,DIR,30/6/2019,16,554,559
2019,019389,CEU EMEF,PARQUE ANHANGUERA,PJ,PIRITUBA,PERUS,PARQUE ANHANGUERA,RUA PEDRO JOSÉ DE LIMA,1020,JARDIM ANHANGÜERA,05267174,39126042,39126041,,Ativa,03,ANHANGUERA,0307,0397271,35397271,163000001380200,,2D,MT,-23439960,-46787258,DIR,30/6/2019,32,989,990
2019,019461,EMEI,MORRO DOCE,PJ,PIRITUBA,PERUS,,RUA ELISA DINA,293,JARDIM BRITANIA,05269060,39112218,,39111668,Ativa,03,ANHANGUERA,0307,0243589,35243589,163000000910000,,2D,MT,-23433879,-46791124,DIR,30/6/2019,10,345,345
2019,306748,CR.P.CONV,AMIGUINHOS DE JESUS,PJ,PIRITUBA,PERUS,,RUA GUILHERME CORREA,35,JARDIM SANTA FE ZONA OESTE,05271230,39114860,3916-2634,,Ativa,03,ANHANGUERA,0308,0295401,35295401,,,2D,G,-23429524,-46794917,CON,30/6/2019,11,143,143
2019,306632,CR.P.CONV,REGINA SIMOES,PJ,PIRITUBA,PERUS,,AVENIDA DALVA DE OLIVEIRA,84,JARDIM ROSINHA,05274001,39119812,39127694,,Ativa,03,ANHANGUERA,0306,0198171,35198171,,,2D,G,-23440691,-46801216,CON,30/6/2019,9,119,119
2019,308217,CR.P.CONV,CORACAO VALENTE,PJ,PIRITUBA,PERUS,,RUA LUIZ DOMINGUES DE CASTRO,371,JARDIM ANHANGÜERA,05267100,39119143,,,Ativa,03,ANHANGUERA,0307,0570515,35570515,,,2D,G,-23441441,-46793817,CON,30/6/2019,11,136,136
2019,308206,CR.P.CONV,JARDIM JARAGUA,PJ,PIRITUBA,PERUS,,RUA PRESIDENTE FÉLIX PAIVA,234,JARDIM JARAGUÁ,05265050,39160745,,,Ativa,03,ANHANGUERA,0305,0567127,35567127,,,2D,G,-23451475,-46789514,CON,30/6/2019,13,154,154
2019,308178,CR.P.CONV,SOLAR DO AMANHECER,PJ,PIRITUBA,PERUS,,RUA FLORÊNCIO CARPI,379,JARDIM ANHANGÜERA,05267080,39166379,,,Ativa,03,ANHANGUERA,0306,0567085,35567085,,,2D,G,-23438489,-46790550,CON,30/6/2019,13,153,153
2019,308188,CR.P.CONV,MIRASSOL,PJ,PIRITUBA,PERUS,,RUA MIRASSOL,1,SÍTIO ITABERABA I,05270150,39160371,,,Ativa,03,ANHANGUERA,0306,0566159,35566159,,,2D,G,-23447436,-46796414,CON,30/6/2019,19,220,220
2019,308192,CR.P.CONV,MARIA DO CARMO,PJ,PIRITUBA,PERUS,,RUA UBERLÂNDIA,9,RESIDENCIAL SOL NASCENTE,05280120,26546694,969786688,,Ativa,03,ANHANGUERA,0303,0567139,35567139,,,2D,G,-23436497,-46771316,CON,30/6/2019,7,69,69
2019,308120,CR.P.CONV,FAMILIA MISSAO,PJ,PIRITUBA,PERUS,,RUA MÁRIO PALMÉRIO,348,JARDIM ANHANGÜERA,05267040,39112876,,,Ativa,03,ANHANGUERA,0306,0564862,35564862,,,2D,G,-23439181,-46792173,CON,30/6/2019,12,140,140
2019,308066,CR.P.CONV,RAINHA DA PAZ,PJ,PIRITUBA,PERUS,,RUA FRANCISCO SOTO,78,JARDIM ANHANGÜERA,05267130,39114849,,,Ativa,03,ANHANGUERA,0307,0562026,35562026,,,2D,G,-23439675,-46793889,CON,30/6/2019,7,80,80
2019,308074,CR.P.CONV,EVA LUIZA ROSA,PJ,PIRITUBA,PERUS,,ESTRADA CORONEL JOSÉ GLADIADOR,647,JARDIM ANHANGÜERA,05267000,39114802,39163833,,Ativa,03,ANHANGUERA,0306,0561548,35561548,,,2D,G,-23437853,-46793524,CON,30/6/2019,7,80,80
2019,308077,CR.P.CONV,"NOVOS RUMOS, CEI",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA ANTÔNIO NETO CALDEIRA,462,VILA ANTONIETA,03475040,20592544,,,Ativa,04,ARICANDUVA,0403,0562014,35562014,,NOVOS RUMOS,2D,G,-23575427,-46516456,CON,30/6/2019,11,141,141
2019,308014,CR.P.CONV,MULEQUE,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA CASTELO RODRIGO,296,VILA RICA,03911110,23011631,,,Ativa,04,ARICANDUVA,0404,0498531,35498531,,,2D,G,-23584906,-46518525,CON,30/6/2019,8,97,97
2019,308097,CR.P.CONV,OLHAR PARA O FUTURO,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA JOÃO BATISTA LIMA,263,JARDIM NICE,03905050,20592243,20592243,,Ativa,04,ARICANDUVA,0404,0563754,35563754,,,2D,G,-23581224,-46515963,CON,30/6/2019,9,136,136
2019,307280,CR.P.CONV,GIRASSOL,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA GEDIVALDO CALIXTO DE SOUZA,158,VILA NOVA YORK,03479030,27213647,,,Ativa,04,ARICANDUVA,0403,0443487,35443487,,CASA DOS PEZINHOS,2D,G,-23574809,-46507459,CON,30/6/2019,7,95,96
2019,306739,CR.P.CONV,TERESA DAVILA,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA REGO BARROS,654,JARDIM VILA FORMOSA,03460000,27247739,,,Ativa,04,ARICANDUVA,0401,0295322,35295322,,TERESA D AVILA,2D,G,-23564574,-46516534,CON,30/6/2019,7,97,97
2019,306902,CR.P.CONV,DOCE LAR DO IRMAO BENEDITO,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA CAGUASSU,119,JARDIM NOVO CARRÃO,03908180,27223657,,,Ativa,04,ARICANDUVA,0404,0806973,35806973,,,2D,G,-23581142,-46503213,CON,30/6/2019,7,82,82
2019,306906,CR.P.CONV,FAMILIA FRUTO FIEL,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA MINERIOS ATOMICOS,89,VILA ANTONIETA,03476020,20592932,,,Ativa,04,ARICANDUVA,0403,0391761,35391761,,,2D,G,-23577212,-46513941,CON,30/6/2019,10,116,116
2019,095184,EMEF,SERGIO MILLIET,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA DOUTOR PAULO DE ANDRADE ARANTES,125,PARQUE MARIA LUIZA,03451090,27833463,,,Ativa,04,ARICANDUVA,0402,0054409,35054409,162700000710000,ESCOLAS AGRUPADAS DO PARQUE MARIA LUIZA,2D,MT,-23557544,-46516969,DIR,30/6/2019,23,710,712
2019,095133,EMEF,"JOAO NAOKI SUMITA, DR.",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,AVENIDA MONSENHOR ANTONIO CASTRO,222,JARDIM VILA FORMOSA,03461000,21547028,21541121,,Ativa,04,ARICANDUVA,0401,0054574,35054574,162700000660000,JARDIM VILA FORMOSA,2D,MT,-23571157,-46527886,DIR,30/6/2019,23,703,704
2019,095141,EMEF,VICENTINA RIBEIRO DA LUZ,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA AILTON NEGRAO FAZZIO,59,PARQUE SANTO EDUARDO,03384020,27245658,27273892,,Ativa,04,ARICANDUVA,0404,0053326,35053326,162700000730000,"1,2 ESCOLA MISTA DA VILA RICA",2D,MTN,-23577944,-46522494,DIR,30/6/2019,24,672,682
2019,095150,EMEF,ROQUETTE PINTO,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA PROFESSORA ALZIRA DE OLIVEIRA GILIOLI,32,JARDIM NICE,03905090,22163864,29161022,,Ativa,04,ARICANDUVA,0404,0053314,35053314,162700000690000,JARDIM IVA,2D,MTN,-23583760,-46516931,DIR,30/6/2019,27,717,723
2019,092118,EMEI,"NEYL GOMEZ MARTIN, PROFA.",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA MIGUEL BASTOS SOARES,275,JARDIM CATARINA,03910000,21541057,,21541124,Ativa,04,ARICANDUVA,0404,0085534,35085534,162700000650000,JARDIM IVA,2D,MT,-23584207,-46516604,DIR,30/6/2019,12,377,378
2019,092134,EMEI,"OLANDYA PERES RIBEIRO, PROFA.",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA MARIANO CURSINO DE MOURA,395,PARQUE MARIA LUIZA,03451000,27831220,,27830893,Ativa,04,ARICANDUVA,0402,0084268,35084268,162700000680000,PARQUE MARIA LUIZA,2D,MT,-23558179,-46516344,DIR,30/6/2019,12,415,415
2019,501413,MOVA,COMUNIDADE CRISTA DO AVIVAMENTO PLENO,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA REFINARIA PRESIDENTE BERNARDES,238,VILA ANTONIETA,03475000,,,,Ativa,04,ARICANDUVA,0403,,,,INST PAULISTA DE EDUC - MOR E PROM SOC NOVOS,2D,TN,-23573113,-46518031,CON,30/6/2019,2,52,
2019,400050,CEI DIRET,"GABRIEL NOGUEIRA DE QUADROS, VER.",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA LAGOA SECA,67,JARDIM RECORD,03462100,29169195,21546212,,Ativa,04,ARICANDUVA,0401,0237930,35237930,162700000700000,JARDIM RECORD,2D,G,-23574981,-46526780,DIR,30/6/2019,11,125,125
2019,400071,CEI DIRET,"DANIELLE MONTEIRO, GCMF",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA SENADOR HENRIQUE NOVAES,310,JARDIM CAGUASSU,03906000,27253445,,27222741,Ativa,04,ARICANDUVA,0404,0237954,35237954,162700000720000,JARDIM CATARINA,2D,G,-23582274,-46512746,DIR,30/6/2019,10,115,116
2019,400036,CEI DIRET,"CORYNTHO BALDOINO DA COSTA FILHO, VER",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA JÚLIO PARIGOT,203,VILA ANTONIETA,03478007,27247725,27247418,27247725,Ativa,04,ARICANDUVA,0403,0237966,35237966,162700000670000,VILA ANTONIETA,2D,G,-23568514,-46515421,DIR,30/6/2019,10,115,117
2019,308985,CR.P.CONV,INGRID VITORIA,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA PETROBRÁS,931,VILA ANTONIETA,03474060,35422600,,,Ativa,04,ARICANDUVA,0403,0005188,35005188,,,2D,G,-23574947,-46512069,CON,30/6/2019,8,111,111
2019,309245,CR.P.CONV,ALEGRETTI,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA DIORAMA,105,JARDIM JUREMA,03908070,35399081,,,Ativa,04,ARICANDUVA,0404,0005781,35005781,,,2D,G,-23580932,-46505565,CON,30/6/2019,10,88,88
2019,400861,CEI INDIR,JARDIM SANTO EDUARDO,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA LOURENCO SILVA ARAUJO E AMAZONAS,275,PARQUE SANTO EDUARDO,03384010,35610242,,,Ativa,04,ARICANDUVA,0404,0005579,35005579,,,2D,G,-23578181,-46522201,CON,30/6/2019,13,129,129
2019,400862,CEI INDIR,ANA MARIA NACINOVIC CORREA,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA RUFINO FERNANDES INIVARRI,400,CONJUNTO HABITACIONAL BARREIRA GRANDE,03907020,27073367,,,Ativa,04,ARICANDUVA,0404,0005580,35005580,,ANA MARIA NACINIOVIC CORREA,2D,G,-23586449,-46505725,CON,30/6/2019,13,156,156
2019,400311,CEI INDIR,JARDIM SAO NICOLAU,PE,PENHA,PENHA,,RUA BROOK TAYLOR,386,JARDIM NORDESTE,03690000,34598271,,,Ativa,05,ARTUR ALVIM,0505,0181729,35181729,,,2D,G,-23527060,-46477223,CON,30/6/2019,12,147,147
