Ordem,EOL,TIPO DE U.E,NOME,DRE,SIGLA/LOTE,E-MAIL,ENDEREÇO,Nº,BAIRRO,endereco_completo,CEP,TELEFONE,TELEFONE2,EMPRESA,COD. CODAE,TIPO_UE2
11,9148,EMEF,ALEXANDRE VANNUCHI LEME,GUAIANASES,G,emefavleme@prefeitura.sp.gov.br,RUA IGARAPE DA DIANA,60,COHAB INACIO MONTEIRO,"RUA IGARAPE DA DIANA, 60 - COHAB INACIO MONTEIRO",8472170,25554046,25555119,Apetece Sistemas de Alimentação Ltda,6987,EMEF
12,9156,EMEF,"LUIS CARLOS PRESTES, SEN.",GUAIANASES,G,emeflcprestes@prefeitura.sp.gov.br,RUA IGARAPE GUARA,90,CONJUNTO HABITACIONAL INACIO MONTEIRO,"RUA IGARAPE GUARA, 90 - CONJUNTO HABITACIONAL INACIO MONTEIRO",8472120,25552118,25550660,Apetece Sistemas de Alimentação Ltda,6988,EMEF
13,9971,EMEF,LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA,IPIRANGA,IP II,emefgonzaguinha@prefeitura.sp.gov.br,ESTRADA DAS LÁGRIMAS,1029,IPIRANGA,"ESTRADA DAS LÁGRIMAS, 1029 - IPIRANGA",4232000,22731677,,Singular Gestão de Serviços Ltda,7158,EMEF
14,10049,EMEF,"CHICO FALCONI, PE.",SÃO MIGUEL,MP II,emefcfalconi@prefeitura.sp.gov.br,RUA BRILHO DO SOL,96,JARDIM BARTIRA,"RUA BRILHO DO SOL, 96 - JARDIM BARTIRA",8152110,25615022,,Singular Gestão de Serviços Ltda,7026,EMEF
15,10103,EMEF,FRANCISCO ALVES MENDES FILHO - CHICO MENDES,ITAQUERA,IQ,emefchicomendes@prefeitura.sp.gov.br,RUA QUINTINO DA CUNHA,22,JARDIM MARÍLIA,"RUA QUINTINO DA CUNHA, 22 - JARDIM MARÍLIA",3579160,22545615,22545373,Apetece Sistemas de Alimentação Ltda,6996,EMEF
16,10405,EMEF,"NILDO DO AMARAL JUNIOR, PE.",SÃO MIGUEL,MP II,emefnajunior@prefeitura.sp.gov.br,RUA ANTONIO JOAO DE MEDEIROS,1901,JARDIM CAMARGO VELHO,"RUA ANTONIO JOAO DE MEDEIROS, 1901 - JARDIM CAMARGO VELHO",8140060,25674538,29638497,Singular Gestão de Serviços Ltda,7027,EMEF
17,10413,EMEF,QUIRINO CARNEIRO RENNO,GUAIANASES,G,emefquirino@prefeitura.sp.gov.br,RUA CAMARGO E LEME,78,VILA SAO GERALDO,"RUA CAMARGO E LEME, 78 - VILA SAO GERALDO",8460480,25571974,,Apetece Sistemas de Alimentação Ltda,6989,EMEF
18,11533,EMEF,"FRANCISCO DA SILVEIRA BUENO, PROF.",IPIRANGA,IP I,emeffsbueno@prefeitura.sp.gov.br,RUA IGARAPÉ FLORES,19,VILA SÃO NICOLAU,"RUA IGARAPÉ FLORES, 19 - VILA SÃO NICOLAU",3254330,21431555,,Singular Gestão de Serviços Ltda,7203,EMEF
19,11851,EMEF,ANALIA FRANCO BASTOS,PENHA,PE II,EMEFAFBASTOS@PREFEITURA.SP.GOV.BR,AVENIDA ARISTON AZEVEDO,20,CATUMBI,"AVENIDA ARISTON AZEVEDO, 20 - CATUMBI",3021020,26182100,26932197,Apetece Sistemas de Alimentação Ltda,6827,EMEF
20,12157,EMEF,ELIAS SHAMMASS,GUAIANASES,G,emefeshammass@prefeitura.sp.gov.br,RUA DO PAI NOSSO,7,CONJUNTO HABITACIONAL SITIO CONCEICAO,"RUA DO PAI NOSSO, 7 - CONJUNTO HABITACIONAL SITIO CONCEICAO",8473020,25181164,,Apetece Sistemas de Alimentação Ltda,6990,EMEF
21,12688,EMEF,ULYSSES DA SYLVEIRA GUIMARAES,CAPELA DO SOCORRO,CS,emefuguimaraes@prefeitura.sp.gov.br,RUA CONDE DE LANCASTRE,209,JARDIM SANTA FE,"RUA CONDE DE LANCASTRE, 209 - JARDIM SANTA FE",4890290,59208892,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,8482,EMEF
22,12874,EMEF,BENEDITO DE JESUS BATISTA LAURINDO-PE BATISTA,SÃO MATEUS,SM II,EMEFPEBATISTA@PREFEITURA.SP.GOV.BR,RUA ALFONSO FERRABOSCO,52,PARQUE DOS BANCÁRIOS,"RUA ALFONSO FERRABOSCO, 52 - PARQUE DOS BANCÁRIOS",3923085,27211129,,Comercial Milano Brasil LTDA,7351,EMEF
23,13510,EMEF,"OLINDA MENEZES SERRA VIDAL, PROFA.",GUAIANASES,G,EMEFOLINDA@PREFEITURA.SP.GOV.BR,RUA VARZEA NOVA,40,CIDADE TIRADENTES,"RUA VARZEA NOVA, 40 - CIDADE TIRADENTES",8475420,29648537,22826500,Apetece Sistemas de Alimentação Ltda,8548,EMEF
24,13528,EMEF,"ANNA LAMBERGA ZEGLIO, VER.",GUAIANASES,G,EMEFFALZEGLIO@PREFEITURA.SP.GOV.BR,RUA OLIMPIA MONTANI,231,SANTA ETELVINA II B,"RUA OLIMPIA MONTANI, 231 - SANTA ETELVINA II B",8475320,25160364,29649068,Apetece Sistemas de Alimentação Ltda,8549,EMEF
25,13803,EMEF,JULIO DE GRAMMONT,SÃO MATEUS,SM I,emefjgrammont@prefeitura.sp.gov.br,TRAVESSA MEIRI,73,JARDIM RODOLFO PIRANI,"TRAVESSA MEIRI, 73 - JARDIM RODOLFO PIRANI",8311560,27513175,,SHA Comércio de Alimentos Ltda,11341,EMEF
26,14583,EMEF,"FLAVIO AUGUSTO ROSA, PROF.",SÃO MIGUEL,MP I,emeffarosa@prefeitura.sp.gov.br,RUA GRUTA DAS PRINCESAS,165,VILA ITAIM,"RUA GRUTA DAS PRINCESAS, 165 - VILA ITAIM",8190460,25811786,25811398,Singular Gestão de Serviços Ltda,8686,EMEF
27,14699,EMEF,"ANTONIO D'AVILA, PROF.",GUAIANASES,G,emefadavila@prefeitura.sp.gov.br,RUA IGARAPÉ ÁGUA AZUL,1259,CONJUNTO HABITACIONAL SANTA ETELVINA II,"RUA IGARAPÉ ÁGUA AZUL, 1259 - CONJUNTO HABITACIONAL SANTA ETELVINA II",8485310,22821569,,Apetece Sistemas de Alimentação Ltda,8680,EMEF
28,15024,EMEF,"CAIO SERGIO POMPEU DE TOLEDO, DEP.",GUAIANASES,G,emefcaiotoledo@prefeitura.sp.gov.br,AVENIDA NASCER DO SOL,1360,COHAB SANTA ETELVINA II A,"AVENIDA NASCER DO SOL, 1360 - COHAB SANTA ETELVINA II A",8485020,29649380,22821513,Apetece Sistemas de Alimentação Ltda,8757,EMEF
29,15121,EMEF,"JOSE CARLOS DE FIGUEIREDO FERRAZ, PREF.",PENHA,PE I,emefjcfferraz@prefeitura.sp.gov.br,RUA ALEXANDER BAIN,89,JARDIM NORDESTE,"RUA ALEXANDER BAIN, 89 - JARDIM NORDESTE",3690060,20483469,22805151,Apetece Sistemas de Alimentação Ltda,8744,EMEF
30,15130,EMEF,"JULIO CESAR DE MELO E SOUSA-MALBA TAHAN, PROF.",ITAQUERA,IQ,emefjcms_malba_tahan@yahoo.com.br,RUA SEBASTIAO MEDEIROS DA SILVA,89,ITAQUERA,"RUA SEBASTIAO MEDEIROS DA SILVA, 89 - ITAQUERA",8210661,22055110,20796166,Apetece Sistemas de Alimentação Ltda,8751,EMEF
31,15296,EMEF,"JOAO FRANZOLIN NETO, PROF.",PENHA,PE I,EMEFPROFJOAOFRANZOLIN@PREFEITURA.SP.GOV.BR,RUA PEDRA LAVRADA,575,PARQUE CISPER,"RUA PEDRA LAVRADA, 575 - PARQUE CISPER",3818000,25476686,29431850,Apetece Sistemas de Alimentação Ltda,8752,EMEF
32,15440,EMEF,EUZEBIO ROCHA FILHO,SÃO MIGUEL,MP II,emeferfilho@prefeitura.sp.gov.br,RUA AMPARO DA SERRA,S/N,PARQUE DOM JOÃO NERI,"RUA AMPARO DA SERRA, S/N - PARQUE DOM JOÃO NERI",8151300,20351789,,Singular Gestão de Serviços Ltda,8802,EMEF
33,16501,EMEF,"FLORESTAN FERNANDES, PROF.",CAPELA DO SOCORRO,CS,emefflorestan@prefeitura.sp.gov.br,AVENIDA MARGUERITTE LONG,41,JARDIM GUANABARA,"AVENIDA MARGUERITTE LONG, 41 - JARDIM GUANABARA",4860320,59713576,59393887,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,8823,EMEF
34,16519,EMEFM,RUBENS PAIVA,SÃO MATEUS,SM II,emefrpaiva@prefeitura.sp.gov.br,RUA DOS NAVEGADORES,91,JARDIM ANGELA,"RUA DOS NAVEGADORES, 91 - JARDIM ANGELA",3985120,21433999,21432310,Comercial Milano Brasil LTDA,8828,EMEF
35,16527,EMEF,"CLAUDIA BARTOLOMAZI, PROFA.",GUAIANASES,G,emefcbartolomazi@prefeitura.sp.gov.br,RUA ARROIO ARAPONGAS,275,CONJUNTO HABITACIONAL SANTA ETELVINA III,"RUA ARROIO ARAPONGAS, 275 - CONJUNTO HABITACIONAL SANTA ETELVINA III",8485440,22821589,22821292,Apetece Sistemas de Alimentação Ltda,8837,EMEF
36,16993,EMEF,"VICENTE AMATO SOBRINHO, C0M.",SÃO MIGUEL,MP II,emefvasobrinho@prefeitura.sp.gov.br,RUA VALDOMIRO GONZAGA SILVA,1233,JARDIM DAS OLIVEIRAS,"RUA VALDOMIRO GONZAGA SILVA, 1233 - JARDIM DAS OLIVEIRAS",8111540,36789665,,Singular Gestão de Serviços Ltda,8880,EMEF
37,17442,EMEFM,"ANTONIO SAMPAIO, VER.",JAÇANÃ / TREMEMBÉ,JT,EMEFMASAMPAIO@PREFEITURA.SP.GOV.BR,RUA VOLUNTÁRIOS DA PÁTRIA,733,SANTANA,"RUA VOLUNTÁRIOS DA PÁTRIA, 733 - SANTANA",2011000,22215599,22214615,SHA Comércio de Alimentos Ltda,8998,EMEF
38,17523,EMEF,"CLOTILDE ROSA HENRIQUES ELIAS, PROFA.",ITAQUERA,IQ,emefclotilde@prefeitura.sp.gov.br,RUA ARROIO CAMPO BOM,215,COHAB SANTA ETELVINA II B,"RUA ARROIO CAMPO BOM, 215 - COHAB SANTA ETELVINA II B",8485475,22820613,22821039,Apetece Sistemas de Alimentação Ltda,9043,EMEF
39,17973,EMEF,"MAILSON DELANE, PROF.",GUAIANASES,G,emefmdelane@prefeitura.sp.gov.br,RUA SALVADOR VIGANO,100,CONJUNTO HABITACIONAL BARRO BRANCO II,"RUA SALVADOR VIGANO, 100 - CONJUNTO HABITACIONAL BARRO BRANCO II",8473605,22824000,22829577,Apetece Sistemas de Alimentação Ltda,9012,EMEF
40,17981,EMEF,PERICLES EUGENIO DA SILVA RAMOS,IPIRANGA,IP II,emefpesramos@prefeitura.sp.gov.br,RUA PROFESSOR JOSE OZI,62,CIDADE NOVA HELIOPOLIS,"RUA PROFESSOR JOSE OZI, 62 - CIDADE NOVA HELIOPOLIS",4230045,22725205,20690005,Singular Gestão de Serviços Ltda,9040,EMEF
41,18210,EMEFM,DARCY RIBEIRO,SÃO MIGUEL,MP I,emefdribeiro@prefeitura.sp.gov.br,RUA DANIEL BERNARDO,105,SÃO MIGUEL PAULISTA,"RUA DANIEL BERNARDO, 105 - SÃO MIGUEL PAULISTA",8010100,20372801,,Singular Gestão de Serviços Ltda,9044,EMEF
42,18511,EMEF,"CARLOS CORREA MASCARO, PROF.",SÃO MATEUS,SM I,emefcmascaro@prefeitura.sp.gov.br,TRAVESSA SALVE A MOCIDADE,932,JARDIM DA CONQUISTA,"TRAVESSA SALVE A MOCIDADE, 932 - JARDIM DA CONQUISTA",8343320,27312406,27313179,SHA Comércio de Alimentos Ltda,11448,EMEF
43,18546,EMEF,"DAMIAO, FREI",CAPELA DO SOCORRO,CS,emeffreidamiao@prefeitura.sp.gov.br,RUA DANIEL ALOMIA,325,JARDIM SIPRAMAR,"RUA DANIEL ALOMIA, 325 - JARDIM SIPRAMAR",4851340,55280997,59336224,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9062,EMEF
44,19011,EMEF,"LINO DE MATTOS, SEN.",SÃO MIGUEL,MP I,emeflmattos@prefeitura.sp.gov.br,RUA SAPUPIRA,1005,JD PEDRO JOSE NUNES,"RUA SAPUPIRA, 1005 - JD PEDRO JOSE NUNES",8061440,25467825,25470738,Singular Gestão de Serviços Ltda,9087,EMEF
45,19046,EMEF,"CELIA REGINA LEKEVICIUS CONSOLIN, PROFA.",JAÇANÃ / TREMEMBÉ,JT,EMEFCRLCONSOLIN@PREFEITURA.SP.GOV.BR,RUA GIUSEPPE MARINO,S/N,PARQUE NOVO MUNDO,"RUA GIUSEPPE MARINO, S/N - PARQUE NOVO MUNDO",2181190,29673221,29557255,SHA Comércio de Alimentos Ltda,9115,EMEF
46,19143,EMEF,JOSE QUERINO RIBEIRO,ITAQUERA,IQ,emefjqribeiro@prefeitura.sp.gov.br,RUA CORONEL ALBERT DE ROCHAS DAIGLUM,50,VILA ARICANDUVA,"RUA CORONEL ALBERT DE ROCHAS DAIGLUM, 50 - VILA ARICANDUVA",8275570,27484321,27472788,Apetece Sistemas de Alimentação Ltda,9184,EMEF
47,19194,EMEF,PEDRO GERALDO SCHUNCK,CAPELA DO SOCORRO,CS,emefpgschunck@prefeitura.sp.gov.br,RUA ANTÔNIO BERNAL,40,JARDIM SILVEIRA,"RUA ANTÔNIO BERNAL, 40 - JARDIM SILVEIRA",4892100,59202837,59203963,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9259,EMEF
48,19208,EMEF,"LUIZ ROBERTO MEGA, PROF.",GUAIANASES,G,emeflrmega@prefeitura.sp.gov.br,RUA HENRIQUE ADAMUS,16,JARDIM AUREA,"RUA HENRIQUE ADAMUS, 16 - JARDIM AUREA",8421107,25554945,25555733,Apetece Sistemas de Alimentação Ltda,9260,EMEF
49,19216,EMEF,"THEREZA MACIEL DE PAULA, PROFA.",SÃO MATEUS,SM I,emefthereza@prefeitura.sp.gov.br,RUA JORGE CARLOS DE ALMEIDA,66,JARDIM SANTO ANDRÉ,"RUA JORGE CARLOS DE ALMEIDA, 66 - JARDIM SANTO ANDRÉ",8390355,27517340,22538803,SHA Comércio de Alimentos Ltda,11348,EMEF
50,19221,EMEF,JARDIM DAS LARANJEIRAS,SÃO MATEUS,SM I,EMEFJDLARANJEIRAS@PREFEITURA.SP.GOV.BR,RUA LUISA SARAZIM,139,JARDIM BANDEIRANTE,"RUA LUISA SARAZIM, 139 - JARDIM BANDEIRANTE",8372100,27310555,,SHA Comércio de Alimentos Ltda,11338,EMEF
51,19223,EMEF,"MARIA APARECIDA VILLAS BOAS, PROFA.",SÃO MATEUS,SM I,emefmariaapvilasboas@prefeitura.sp.gov.br,RUA DOS LIRIOS,2,PARQUE DAS FLORES,"RUA DOS LIRIOS, 2 - PARQUE DAS FLORES",8391280,27512399,27539100,SHA Comércio de Alimentos Ltda,11343,EMEF
52,19225,EMEF,"WANDA OVIDIO GONCALVES, PROFA.",SÃO MIGUEL,MP II,emefwanda@prefeitura.sp.gov.br,RUA ARISTIDES DE BASILE,18,JARDIM DAS OLIVEIRAS,"RUA ARISTIDES DE BASILE, 18 - JARDIM DAS OLIVEIRAS",8111730,25691250,25691251,Singular Gestão de Serviços Ltda,9451,EMEF
53,19226,CEU EMEF,MARIA CLARA MACHADO,SÃO MIGUEL,MP II,emefceumariaclmachado@pref.sp.gov.br,RUA DANIEL MULLER,347,CHÁCARA DONA OLÍVIA,"RUA DANIEL MULLER, 347 - CHÁCARA DONA OLÍVIA",8141290,2563-6231,,Singular Gestão de Serviços Ltda,9487,EMEF
54,19227,CEU EMEF,"CONCEICAO APARECIDA DE JESUS, PROFA (VILA NOVA)",ITAQUERA,IQ,emefconceicaoaparecidajesus@prefeitura.sp.gov.br,AVENIDA ERNESTO SOUZA CRUZ,2171,CIDADE ANTÔNIO ESTEVÃO DE CARVALHO,"AVENIDA ERNESTO SOUZA CRUZ, 2171 - CIDADE ANTÔNIO ESTEVÃO DE CARVALHO",8225380,33979051,33979049,Apetece Sistemas de Alimentação Ltda,9480,EMEF
55,19228,EMEF,"JOSE PEGORARO, PADRE",CAPELA DO SOCORRO,CS,emefjpegoraro@prefeitura.sp.gov.br,RUA PORTUNHOS,S/N,PARQUE COCAIA,"RUA PORTUNHOS, S/N - PARQUE COCAIA",4850190,59312726,59315427,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,12242,EMEF
56,19232,EMEF,FAZENDA DA JUTA,SÃO MATEUS,SM II,emeffazjuta@PREFEITURA.SP.GOV.BR,RUA LUCAS LOSSIUS,95,JARDIM SANTA ADÉLIA,"RUA LUCAS LOSSIUS, 95 - JARDIM SANTA ADÉLIA",3974100,29624638,29623355,Comercial Milano Brasil LTDA,9294,EMEF
57,19241,EMEF,"HELLIO TAVARES, DR.",SÃO MIGUEL,MP II,EMEFHTAVARES@PREFEITURA.SP.GOV.BR,RUA PAULO TAPAJOS,654,ITAIM PAULISTA,"RUA PAULO TAPAJOS, 654 - ITAIM PAULISTA",8131360,25668599,,Singular Gestão de Serviços Ltda,9301,EMEF
58,19243,EMEF,"MARINA MELANDER COUTINHO, PROFA.",CAPELA DO SOCORRO,CS,emefcoutinho@prefeitura.sp.gov.br,AVENIDA RUBENS MONTANARO DE BORBA,862,JARDIM REGIS,"AVENIDA RUBENS MONTANARO DE BORBA, 862 - JARDIM REGIS",4811120,56692463,56690861,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9634,EMEF
59,19244,EMEF,"GIUSEPPE TAVOLARO, PROF.",SÃO MATEUS,SM II,emefgtavolaro@prefeitura.sp.gov.br,RUA ALEXANDRE GROPPALI,147,FAZENDA DA JUTA,"RUA ALEXANDRE GROPPALI, 147 - FAZENDA DA JUTA",3977414,29196487,,Comercial Milano Brasil LTDA,9711,EMEF
60,19254,EMEF,"AYRTON OLIVEIRA SAMPAIO, PROF.",CAPELA DO SOCORRO,CS,emefaosampaio@prefeitura.sp.gov.br,RUA JÚLIA MAMEIA,200,JARDIM SANTA FE ZONA SUL,"RUA JÚLIA MAMEIA, 200 - JARDIM SANTA FE ZONA SUL",4859100,55274609,55272829,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9744,EMEF
61,19261,CEU EMEF,"PAULO GOMES CARDIM, PROF. DR.",ITAQUERA,IQ,EMEFPAULOGOMESCARDIM@PREFEITURA.SP.GOV.BR,RUA OLGA FADEL ABARCA,S/N,JARDIM SANTA TERESINHA,"RUA OLGA FADEL ABARCA, S/N - JARDIM SANTA TERESINHA",3572020,27237527,27237532,Apetece Sistemas de Alimentação Ltda,9881,EMEF
62,19263,CEU EMEF,CIDADE DUTRA,CAPELA DO SOCORRO,CS,emefceucidadedutra@prefeitura.sp.gov.br,AVENIDA INTERLAGOS,7350,INTERLAGOS,"AVENIDA INTERLAGOS, 7350 - INTERLAGOS",4777000,56681927,56681932,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9857,EMEF
63,19264,CEU EMEF,INACIO MONTEIRO,GUAIANASES,G,emefceuinaciomonteiro@prefeitura.sp.gov.br,RUA BARAO BARROSO DO AMAZONAS,S/N,COHAB INACIO MONTEIRO,"RUA BARAO BARROSO DO AMAZONAS, S/N - COHAB INACIO MONTEIRO",8472721,25189020,25189023,Apetece Sistemas de Alimentação Ltda,9906,EMEF
64,19265,CEU EMEF,JAMBEIRO,GUAIANASES,G,emefceujambeiro@prefeitura.sp.gov.br,AVENIDA JOSÉ PINHEIRO BORGES,60,JARDIM HELENA,"AVENIDA JOSÉ PINHEIRO BORGES, 60 - JARDIM HELENA",8420092,29602036,29602034,Apetece Sistemas de Alimentação Ltda,9853,EMEF
65,19266,CEU EMEF,MENINOS,IPIRANGA,IP II,emefceumeninos@prefeitura.sp.gov.br,RUA BARBINOS,111,SAO JOAO CLIMACO,"RUA BARBINOS, 111 - SAO JOAO CLIMACO",4240110,29452535,29452534,Singular Gestão de Serviços Ltda,9884,EMEF
66,19269,CEU EMEF,PARQUE SAO CARLOS,SÃO MIGUEL,MP I,emefceupqscarlos@prefeitura.sp.gov.br,RUA CLAREAR,643,JARDIM SAO CARLOS ZONA LESTE,"RUA CLAREAR, 643 - JARDIM SAO CARLOS ZONA LESTE",8062590,20454218,20454220,Singular Gestão de Serviços Ltda,9912,EMEF
67,19274,CEU EMEF,"CANDIDA DORA PINO PRETINI, PROFA.",SÃO MATEUS,SM I,emefceucandidadora@prefeitura.sp.gov.br,RUA CINIRA POLÔNIO,100,CONJUNTO PROMORAR RIO CLARO,"RUA CINIRA POLÔNIO, 100 - CONJUNTO PROMORAR RIO CLARO",8395320,27521004,27521007,SHA Comércio de Alimentos Ltda,11446,EMEF
68,19276,CEU EMEF,TRES LAGOS,CAPELA DO SOCORRO,CS,emefceutreslagos@prefeitura.sp.gov.br,RUA MARIA MOURA DA CONCEICAO,S/N,JARDIM BELCITO,"RUA MARIA MOURA DA CONCEICAO, S/N - JARDIM BELCITO",4855257,59765632,59765630,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9911,EMEF
69,19278,CEU EMEF,VILA CURUCA,SÃO MIGUEL,MP II,emefceuvilacuruca@prefeitura.sp.gov.br,AVENIDA MARECHAL TITO,3452,ITAIM PAULISTA,"AVENIDA MARECHAL TITO, 3452 - ITAIM PAULISTA",8115000,25636116,25636112,Singular Gestão de Serviços Ltda,9922,EMEF
70,19291,EMEF,VARGEM GRANDE,CAPELA DO SOCORRO,CS,emefvgrande@prefeitura.sp.gov.br,RUA BEIJAFLOR,1,COLONIA ZONA SUL,"RUA BEIJAFLOR, 1 - COLONIA ZONA SUL",4895280,59204003,59204004,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,8849,EMEF
71,19305,EMEF,JOAO DA SILVA,CAPELA DO SOCORRO,CS,emefjoaodasilva@prefeitura.sp.gov.br,RUA CONQUISTA POPULAR,S/N,VILA NASCENTE,"RUA CONQUISTA POPULAR, S/N - VILA NASCENTE",4846550,59312828,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9337,EMEF
72,19313,CEU EMEF,MANOEL VIEIRA DE QUEIROZ FILHO,CAPELA DO SOCORRO,CS,emefmvqfilho@prefeitura.sp.gov.br,RUA JOSÉ PEDRO DE BORBA,20,JARDIM NOVO PARELHEIROS,"RUA JOSÉ PEDRO DE BORBA, 20 - JARDIM NOVO PARELHEIROS",4890090,59266927,59266925,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,12076,EMEF
73,19321,EMEF,LOURIVAL BRANDAO DOS SANTOS,CAPELA DO SOCORRO,CS,emeflbsantos@prefeitura.sp.gov.br,RUA ALBA VALDEZ,5,JARDIM REIMBERG,"RUA ALBA VALDEZ, 5 - JARDIM REIMBERG",4845200,59729482,59729481,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9329,EMEF
74,19333,CEU EMEF,AGUA AZUL,GUAIANASES,G,EMEFCEUAGUAAZUL@PREFEITURA.SP.GOV.BR,AVENIDA DOS METALÚRGICOS,1300,CIDADE TIRADENTES,"AVENIDA DOS METALÚRGICOS, 1300 - CIDADE TIRADENTES",8471000,33963546,33963545,Apetece Sistemas de Alimentação Ltda,11090,EMEF
75,19336,CEU EMEF,VILA RUBI,CAPELA DO SOCORRO,CS,,RUA DOMINGOS TARROSO,101,VILA RUBI,"RUA DOMINGOS TARROSO, 101 - VILA RUBI",4823090,56629440,56629438,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,11099,EMEF
76,19337,CEU EMEF,JAÇANÃ,JAÇANÃ / TREMEMBÉ,JT,,RUA FRANCISCA ESPÓSITO TONETTI,S/N,GUAPIRA,"RUA FRANCISCA ESPÓSITO TONETTI, S/N - GUAPIRA",2276010,33973980,33973984,SHA Comércio de Alimentos Ltda,11094,EMEF
