0,EOL,TIPO DE U.E,NOME,DRE,SIGLA/LOTE,E-MAIL,ENDEREÇO,Nº,BAIRRO,,CEP,TELEFONE,TELEFONE2,EMPRESA,COD. CODAE
#REF!,400085,CEI,JARDIM HERCILIA,PENHA,PE II,ceijhercilia@prefeitura.sp.gov.br,RUA ALVES MALDONADO,46,VILA NHOCUNÉ,"RUA ALVES MALDONADO, 46 - VILA NHOCUNÉ",03558-050,2749-0180,,Apetece Sistemas de Alimentação Ltda,7548
#REF!,400088,CEI,JARDIM JAPAO,JAÇANÃ / TREMEMBÉ,JT,ceijjapao@prefeitura.sp.gov.br,PRAÇA JANIO DA SILVA QUADROS,270,VILA MARIA ALTA,"PRAÇA JANIO DA SILVA QUADROS, 270 - VILA MARIA ALTA",02132-000,2931-8368,,SHA Comércio de Alimentos Ltda,7605
#REF!,400094,CEI,JARDIM MAIA,SÃO MIGUEL,MP I,ceijmaia@prefeitura.sp.gov.br,AVENIDA ESTRELA DA NOITE,287,JARDIM MAIA,"AVENIDA ESTRELA DA NOITE, 287 - JARDIM MAIA",08180-190,2581-6607,,Singular Gestão de Serviços Ltda,7513
#REF!,400095,CEI,"WILSON DANGELO BRAZ, PROF.",JAÇANÃ / TREMEMBÉ,JT,ceijmaninos@prefeitura.sp.gov.br,AVENIDA DIREITOS HUMANOS,717,JARDIM MANINOS,"AVENIDA DIREITOS HUMANOS, 717 - JARDIM MANINOS",02475-000,2239-8534,,SHA Comércio de Alimentos Ltda,7641
#REF!,400097,CEI,JOAO BENTO DE CARVALHO,ITAQUERA,IQ,ceijbcarvalho@prefeitura.sp.gov.br,RUA PEDRO DE MENA,48,JARDIM MARILIA,"RUA PEDRO DE MENA, 48 - JARDIM MARILIA",03579-270,2742-0846,2749-0874,Apetece Sistemas de Alimentação Ltda,7477
#REF!,400098,CEI,JARDIM MATARAZZO,PENHA,PE I,ceijmatarazzo@prefeitura.sp.gov.br,RUA DONA ZILDA FERNANDES DE HOLANDA,75,JARDIM MATARAZZO,"RUA DONA ZILDA FERNANDES DE HOLANDA, 75 - JARDIM MATARAZZO",03810-080,2544-3075,,Apetece Sistemas de Alimentação Ltda,7514
#REF!,400099,CEI,JARDIM MILIUNAS,SÃO MIGUEL,MP II,ceijmiliunas@prefeitura.sp.gov.br,RUA SARGAÇO,437,ITAIM PAULISTA,"RUA SARGAÇO, 437 - ITAIM PAULISTA",08111-370,2561-8970,,Singular Gestão de Serviços Ltda,7515
#REF!,400101,CEI,JARDIM MONJOLO,FREGUÊSIA / BRASILÂNDIA,FO,ceijmonjolo@prefdeitura.sp.gov,RUA CALIXTO DE ALMEIDA,442,JARDIM MONJOLO,"RUA CALIXTO DE ALMEIDA, 442 - JARDIM MONJOLO",02961-000,3975-3737,3975-5790,SHA Comércio de Alimentos Ltda,7585
#REF!,400102,CEI,JARDIM MONTE ALEGRE,FREGUÊSIA / BRASILÂNDIA,FO,ceijma@hotmail.com,RUA ANTONIO GENELLÍ,175,JARDIM MONTE ALEGRE,"RUA ANTONIO GENELLÍ , 175 - JARDIM MONTE ALEGRE",02811-020,3975-0954,,SHA Comércio de Alimentos Ltda,7586
#REF!,400104,CEI,JARDIM NAZARE,SAO MIGUEL,MP,RUA JOSE FELIPE AMARAL,RUA JOSE FELIPE AMARAL,45,,"RUA JOSÉ FELIPE AMARAL, 45 - JARDIM NAZARÉ",08151-320,,,Singular Gestão de Serviços Ltda,7536
#REF!,400105,CEI,MARIA APARECIDA DOS SANTOS,SÃO MIGUEL,MP II,ceimapsantos@prefeitura.sp.gov.br,RUA ESTEVÃO PINHEIRO,217,ITAIM PAULISTA,"RUA ESTEVÃO PINHEIRO, 217 - ITAIM PAULISTA",08121-360,2963-2510,,Singular Gestão de Serviços Ltda,7508
#REF!,400106,CEI,JARDIM NOVE DE JULHO,SÃO MATEUS,SM II,ceijnjulho@prefeitura.sp.gov.br,RUA GOMES DE MELO,1,JARDIM NOVE DE JULHO,"RUA GOMES DE MELO, 1 - JARDIM NOVE DE JULHO",03951-070,2019-1425,2012-8779,Comercial Milano Brasil LTDA,11451
#REF!,400107,CEI,JARDIM NOVO PARELHEIROS,CAPELA DO SOCORRO,CS,ceijnparelheiros@prefeitura.sp.gov.br,RUA TEREZINHA PRADO DE OLIVEIRA,52,JARDIM N PARELHEIROS,"RUA TEREZINHA PRADO DE OLIVEIRA, 52 - JARDIM N PARELHEIROS",04890-630,5920-8840,5921-0074,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,7449
#REF!,400109,CEI,JARDIM PERI,FREGUÊSIA / BRASILÂNDIA,FO,ceijperi@prefeitura.sp.gov.br,RUA AFONSO LOPES VIEIRA,57,VILA DIONISIA,"RUA AFONSO LOPES VIEIRA, 57 - VILA DIONISIA",02671-100,3851-7646,2851-0178,SHA Comércio de Alimentos Ltda,7588
#REF!,400110,CEI,JARDIM POPULAR,PENHA,PE I, ceijpopular@prefeitura.sp.gov.br,RUA FLOR DE CERA,80,JARDIM POPULAR,"RUA FLOR DE CERA, 80 - JARDIM POPULAR",03671-050,2791-6274 ,,Apetece Sistemas de Alimentação Ltda,7552
#REF!,400111,CEI,JARDIM PRIMAVERA I,FREGUÊSIA / BRASILÂNDIA,FO,ceijprimavera1@prefeitura.sp.gov.br,RUA CRISOLIA,526,JARDIM PRIMAVERA,"RUA CRISOLIA, 526 - JARDIM PRIMAVERA",02756-000,3935-4800,,SHA Comércio de Alimentos Ltda,7593
